,nameFirst,nameLast,BAT_ID,RE24,PA,Runs.Start
1,Jose,Abreu,abrej003,20.93910346,693,370.1161416
2,Ronald,Acuna,acunr001,38.57064041,715,360.8832822
3,Austin,Adams,adama002,-0.458658623,1,0.458658623
4,Cristhian,Adames,adamc001,-0.010752136,24,11.69190042
5,Matt,Adams,adamm002,-0.317090948,333,175.7367996
6,Willy,Adames,adamw002,-13.33164423,584,291.0573919
7,Jim,Adduci,adduj002,-1.123667252,5,1.652513524
8,Ehire,Adrianza,adrie001,1.029039388,236,121.0310834
9,Dario,Agrazal,agrad001,-4.171910125,24,14.7877314
10,Jesus,Aguilar,aguij001,-2.254024061,369,193.7440305
11,Nick,Ahmed,ahmen001,-1.155312966,625,338.7802249
12,R.J.,Alaniz,alanr001,0.905526182,1,0.333237863
13,Hanser,Alberto,albeh001,-0.684859125,550,264.5038971
14,Ozzie,Albies,albio001,23.43684964,702,338.0283971
15,Sandy,Alcantara,alcas001,-7.62140031,63,27.00111479
16,Jorge,Alfaro,alfaj002,-9.948293511,465,247.7477659
17,Anthony,Alford,alfoa002,-3.298064727,30,15.66845922
18,Kolby,Allard,allak001,-0.355258012,2,0.580164455
19,Austin,Allen,allea001,-7.396095346,71,37.51678385
20,Cody,Allen,allec002,-0.458658623,1,0.458658623
21,Greg,Allen,alleg002,-6.233922102,256,135.7612182
22,Logan,Allen,allel002,-0.123861913,5,2.372590032
23,Abraham,Almonte,almoa001,0.55475707,38,23.77679661
24,Albert,Almora,almoa002,-25.35376496,363,195.2387875
25,Yency,Almonte,almoy001,-1.017759543,5,1.71037722
26,Pete,Alonso,alonp001,38.8943493,693,355.0897077
27,Yonder,Alonso,alony001,-11.84886581,335,169.6678794
28,Aaron,Altherr,altha001,-9.551719154,66,32.5213992
29,Jose,Altuve,altuj001,12.65953188,548,290.2968253
30,Yordan,Alvarez,alvay001,34.60141968,369,208.9000723
31,Adbert,Alzolay,alzoa001,-1.828662782,5,2.343651452
