"","nameFirst","nameLast","BAT_ID","Position","RE24","PA","Runs.Start","salaries","total_inn","total_def","UZR_150"
"1","Jose","Abreu","abrej003","1B",20.93910346,693,370.1161416,12666666,1103.2,-11.3,-2.2
"2","Jesus","Aguilar","aguij001","1B",-2.254024061,369,193.7440305,2575000,578.1,-4.5,0.1
"3","Nick","Ahmed","ahmen001","SS",-1.155312966,625,338.7802249,6375000,1381,9,2.3
"4","Hanser","Alberto","albeh001","2B",-0.684859125,550,264.5038971,1650000,1086.3,5.2,12
"5","Albert","Almora","almoa002","CF",-25.35376496,363,195.2387875,1575000,765.1,-1.1,-4.1
"6","Jose","Altuve","altuj001","2B",12.65953188,548,290.2968253,2.9e+07,1023.2,-4.6,-12.1
"7","Elvis","Andrus","andre001","SS",-9.526412082,648,336.2100347,15250000,1279.1,8.6,2.2
"8","Orlando","Arcia","arcio002","SS",-20.14867396,546,295.4208352,2200000,1241.1,5.4,-1.2
"9","Nolan","Arenado","arenn001","3B",50.21239964,662,328.1285889,3.5e+07,1319.2,12.5,12
"10","Javier","Baez","baezj001","SS",9.757413313,561,292.9482974,1e+07,1116.2,15.7,9.5
"11","Cody","Bellinger","bellc002","CF",59.32992273,661,338.3624904,11500000,911.1,4.8,15.3
"12","Josh","Bell","bellj005","1B",37.60965682,613,339.827359,4800000,1160.2,-17.5,-16.4
"13","Brandon","Belt","beltb001","1B",-0.564169772,616,314.7018101,17200000,1155.1,-8.7,1.6
"14","Andrew","Benintendi","benia002","LF",7.080789374,615,311.5246549,3400000,1130.2,-4.5,0.2
"15","Mookie","Betts","bettm001","RF",41.71540126,706,348.832922,2.7e+07,1129.1,7,15.6
"16","Charlie","Blackmon","blacc001","RF",34.74920609,634,311.0420037,21333333,1178,-16.7,-10.7
"17","Xander","Bogaerts","bogax001","SS",44.2083909,698,368.3674306,2e+07,1368,8.2,0.8
"18","Jackie","Bradley","bradj001","CF",-8.92169415,567,299.2076059,1.1e+07,1247,0.9,-1.8
"19","Michael","Brantley","branm003","LF",26.09358349,637,331.4033961,1.6e+07,948.2,-3.4,3.4
"20","Ryan","Braun","braur002","1B",12.66636735,508,256.5424049,1.7e+07,878.2,-6.5,-4.1
"21","Kris","Bryant","bryak001","3B",27.13358536,634,300.6449367,18600000,939.1,0.2,-1.5
"22","Asdrubal","Cabrera","cabra002","3B",20.33985731,514,280.8553412,2500000,812,4.7,4.6
"23","Lorenzo","Cain","cainl001","CF",-20.68212611,623,311.2946016,1.5e+07,1177.1,9,8.7
"24","Kole","Calhoun","calhk001","RF",1.061804305,632,320.2657331,6e+06,1298.2,-1.6,4.5
"25","Mark","Canha","canhm001","LF",25.64635376,497,260.9450186,4800000,481.2,-3.1,-11.2
"26","Robinson","Cano","canor001","2B",-12.36342424,422,208.660516,2.4e+07,804.1,0.6,-1.5
"27","Matt","Carpenter","carpm002","3B",-5.4485824,491,251.6615301,18500000,880.1,-0.6,-3.3
"28","Starlin","Castro","casts001","2B",-12.16438758,676,348.0455637,6e+06,1378.4,3.3,3
"29","Robinson","Chirinos","chirr001","C",6.289270024,437,236.3013684,5750000,966,2.7,NA
"30","Shin-Soo","Choo","choos001","DH",23.95109302,659,333.5639142,2.1e+07,688.2,-12.6,-27.8
"31","Michael","Conforto","confm001","RF",25.46174596,648,336.2090869,8e+06,1012.1,-4.6,0.9
"32","Willson","Contreras","contw001","C",11.35979447,409,214.5043579,4500000,811.2,-0.9,NA
"33","Carlos","Correa","corrc001","SS",11.93681669,321,184.5976335,8e+06,642.1,3.4,0.9
"34","Brandon","Crawford","crawb001","SS",-11.04266405,560,290.2154019,15200000,1233,5.9,0
"35","Cheslor","Cuthbert","cuthc001","3B",-14.98018523,330,168.5140381,750000,668.1,-6.9,-19.9
"36","David","Dahl","dahld001","CF",14.38993155,413,215.8102042,2475000,619.2,0.7,6.6
"37","Travis","d'Arnaud","darnt001","C",6.72824064,391,204.5470287,8e+06,626.2,6,NA
"38","Chris","Davis","davic003","1B",-11.72013098,352,172.0869679,21065362,769.1,-6.2,1.1
"39","Delino","DeShields","deshd002","CF",-7.955294863,408,206.3302428,1875000,860.2,3.6,3.8
"40","Ian","Desmond","desmi001","CF",-3.768133228,482,259.0245258,1.5e+07,941.1,-8,-17.6
"41","Josh","Donaldson","donaj001","3B",27.55844312,659,343.0261143,2.1e+07,1297,4.6,2.1
"42","Brandon","Drury","drurb001","3B",-22.04897827,447,224.0077632,2050000,528.1,1.8,2.4
"43","Jarrod","Dyson","dysoj001","CF",-11.62670924,451,226.266137,2e+06,646.2,3.7,5.3
"44","Adam","Eaton","eatoa002","RF",3.386306136,656,335.2446653,9500000,1164.2,-7.8,-2.2
"45","Edwin","Encarnacion","encae001","DH",33.48446516,486,241.0498566,1.2e+07,489,-5.1,-1.8
"46","Eduardo","Escobar","escoe001","3B",20.61094161,699,367.551144,7166666,1137,2.9,1.2
"47","Tyler","Flowers","flowt001","C",-14.73222016,310,163.7384418,4e+06,679,19,NA
"48","Dexter","Fowler","fowld001","RF",7.023518422,574,283.7172498,16500000,1137.3,-4.7,-2.3
"49","Maikel","Franco","franm004","3B",-6.228305702,428,218.7438418,2950000,924.2,1.5,-0.5
"50","Adam","Frazier","fraza001","2B",2.696984861,608,309.7915563,2800000,1180.2,4.9,4.6
"51","Todd","Frazier","frazt001","3B",-0.690270685,499,267.9812454,3500000,997.1,0.5,-1.1
"52","Freddie","Freeman","freef001","1B",51.39269036,692,335.8063372,22359375,1365.2,-16.2,-3.4
"53","Freddy","Galvis","galvf001","SS",-7.752776963,588,293.5399788,5500000,939.2,3.2,-2.4
"54","Ben","Gamel","gameb001","LF",5.530599088,356,174.1445456,1400000,396,1.8,15.6
"55","Avisail","Garcia","garca003","LF",-4.202892078,530,285.7586508,7250000,775.1,-0.8,6.3
"56","Greg","Garcia","garcg002","2B",3.297279411,372,195.2707519,1500000,517.1,2.6,4.8
"57","Leury","Garcia","garcl004",NA,-17.80091849,618,321.0314409,3250000,573,-0.5,-6.5
"58","Brett","Gardner","gardb001","CF",5.273231347,550,290.1965775,1e+07,1168.1,2.6,9.9
"59","Paul","Goldschmidt","goldp001","1B",23.00453584,682,353.5187572,2.6e+07,1369.2,-9.3,2.5
"60","Yan","Gomes","gomey001","C",-3.0416606,358,183.1908633,4e+06,787,8.5,NA
"61","Marwin","Gonzalez","gonzm002","3B",-4.132114601,463,212.4587285,9e+06,326.2,-3.4,-5.1
"62","Brian","Goodwin","goodb001","RF",-2.180197872,458,232.1787367,2200000,507.2,-6.9,-12.6
"63","Alex","Gordon","gorda001","LF",6.355968707,633,322.812186,4e+06,1260,-3.3,3.1
"64","Dee","Gordon","gordd002","2B",-9.898037765,421,219.5965207,13800000,918.1,0.7,-1.4
"65","Yasmani","Grandal","grany001","C",19.16576952,632,330.9640657,18250000,1095.2,23.4,NA
"66","Didi","Gregorius","gregd001","SS",5.149444065,344,178.71341,1.4e+07,688.1,3.7,0.1
"67","Robbie","Grossman","grosr001",NA,-5.832485853,482,236.2694876,3725000,844.1,-0.7,5.1
"68","Billy","Hamilton","hamib001","CF",-18.8485685,353,184.0984935,1e+06,826,9.3,15.3
"69","Bryce","Harper","harpb003","RF",46.35280982,682,347.7969025,27538462,1318,3.2,11
"70","Austin","Hedges","hedga001","C",-17.8219989,347,166.4131364,3e+06,813,27.6,NA
"71","Cesar","Hernandez","hernc005","2B",-7.877998723,667,342.190291,6250000,1376.2,1.6,-0.7
"72","Enrique","Hernandez","herne001","CF",-7.681908386,460,238.8457041,5900000,589.1,0.9,-0.3
"73","Jason","Heyward","heywj001","RF",-0.898468727,589,305.2748547,23500000,1221.3,-1.7,0.899999999999999
"74","Eric","Hosmer","hosme001","1B",13.00083187,667,331.4793213,2.1e+07,1356,-12.2,-0.6
"75","Jose","Iglesias","iglej001","SS",-6.07087677,530,274.2252996,2500000,1169.2,11.9,7.6
