"","FirstName","LastName","positions","salaries"
"1","Starling","Marte","Center Field",11500000
"2","Eduardo","Escobar","3rd Base",7166666
"3","Kole","Calhoun","Right Field",6e+06
"4","Stephen","Vogt","Catcher",2500000
"5","Jon","Jay","Right Field",1500000
"6","Nick","Ahmed","Shortstop",6375000
"7","Jake","Lamb","1st Base",5515000
"8","Freddie","Freeman","1st Base",22359375
"9","Marcell","Ozuna","Left Field",1.8e+07
"10","Travis","d'Arnaud","Catcher",8e+06
"11","Tyler","Flowers","Catcher",4e+06
"12","Nick","Markakis","Right Field",4e+06
"13","Yonder","Alonso","1st Base",1e+06
"14","Adeiny","Hechavarria","Shortstop",1e+06
"15","Adam","Duvall","Right Field",3250000
"16","Dansby","Swanson","Shortstop",3150000
"17","Charlie","Culberson","2nd Base",1e+06
"18","Peter","O'Brien","Right Field",563500
"19","Chris","Davis","1st Base",21065362
"20","Jose","Iglesias","Shortstop",2500000
"21","Trey","Mancini","Right Field",4750000
"22","Hanser","Alberto","2nd Base",1650000
"23","J.D.","Martinez","Designated Hitter",23750000
"24","Xander","Bogaerts","Shortstop",2e+07
"25","Dustin","Pedroia","2nd Base",13125000
"26","Mitch","Moreland","1st Base",2500000
"27","Jackie","Bradley Jr.","Center Field",1.1e+07
"28","Kevin","Pillar","Center Field",4250000
"29","Andrew","Benintendi","Left Field",3400000
"30","Jose","Peraza","2nd Base",2850000
"31","Kevin","Plawecki","Catcher",9e+05
"32","Jason","Heyward","Right Field",23500000
"33","Anthony","Rizzo","1st Base",16500000
"34","Daniel","Descalso","2nd Base",2500000
"35","Jason","Kipnis","2nd Base",1e+06
"36","Kris","Bryant","3rd Base",18600000
"37","Javier","Baez","Shortstop",1e+07
"38","Kyle","Schwarber","Left Field",7010000
"39","Willson","Contreras","Catcher",4500000
"40","Albert","Almora","Center Field",1575000
"41","Steven","Souza","Right Field",1e+06
"42","Yasmani","Grandal","Catcher",18250000
"43","Jose","Abreu","1st Base",12666666
"44","Edwin","Encarnacion","Designated Hitter",1.2e+07
"45","Nomar","Mazara","Right Field",5560000
"46","James","McCann","Catcher",5400000
"47","Leury","Garcia","Outfielders",3250000
"48","Cheslor","Cuthbert","3rd Base",750000
"49","Joey","Votto","1st Base",2.5e+07
"50","Nick","Castellanos","Right Field",1.6e+07
"51","Mike","Moustakas","2nd Base",1.2e+07
"52","Freddy","Galvis","Shortstop",5500000
"53","Curt","Casali","Catcher",1462500
"54","Carlos","Santana","1st Base",20833334
"55","Francisco","Lindor","Shortstop",17500000
