"","X","nameFirst","nameLast","BAT_ID","Position","RE24","PA","Runs.Start","salaries","total_inn","total_def","UZR_150",".hat",".sigma",".cooksd",".fitted",".resid",".stdresid","Over_Underpaid","Pct_Over_Underpaid","Real_Salary_Millions","Fitted_Millions","Resid_Millions"
"1",1,"Jose","Abreu","abrej003","1B",20.93910346,693,370.1161416,12666666,1103.2,-11.3,-2.2,0.0550769126755766,9440208.09645035,0.000298097996152883,13769893.272335,-1103227.27233505,-0.123866421731841,"Underpaid","-8.7%",12.666666,13.769893272335,-1.10322727233505
"2",2,"Jesus","Aguilar","aguij001","1B",-2.254024061,369,193.7440305,2575000,578.1,-4.5,0.1,0.116637763841702,8945062.58142972,0.0770369904812755,13968120.3656928,-11393120.3656928,-1.32300079056832,"Underpaid","-442.5%",2.575,13.9681203656928,-11.3931203656928
"3",12,"Josh","Bell","bellj005","1B",37.60965682,613,339.827359,4800000,1160.2,-17.5,-16.4,0.361350972142135,9422047.90447216,0.015206399876699,6879144.33752343,-2079144.33752343,-0.283949000786541,"Underpaid","-43.3%",4.8,6.87914433752343,-2.07914433752343
"4",13,"Brandon","Belt","beltb001","1B",-0.564169772,616,314.7018101,17200000,1155.1,-8.7,1.6,0.118915307935377,9423719.2783621,0.00335719492371234,14850578.9960512,2349421.00394881,0.273173679099297,"Overpaid","13.7%",17.2,14.8505789960512,2.34942100394881
"5",20,"Ryan","Braun","braur002","1B",12.66636735,508,256.5424049,1.7e+07,878.2,-6.5,-4.1,0.0547669848397823,9369373.20762258,0.00520064209051747,12377448.6488486,4622551.35115141,0.51891847831389,"Overpaid","27.2%",17,12.3774486488486,4.62255135115141
"6",38,"Chris","Davis","davic003","1B",-11.72013098,352,172.0869679,21065362,769.1,-6.2,1.1,0.199745533299773,9240631.64137193,0.0603955389948677,14081980.0815879,6983381.91841208,0.851997996109394,"Overpaid","33.2%",21.065362,14.0819800815879,6.98338191841208
"7",52,"Freddie","Freeman","freef001","1B",51.39269036,692,335.8063372,22359375,1365.2,-16.2,-3.4,0.275345930668448,9157232.04397808,0.128978209356296,14488493.5634543,7870881.43654569,1.009124697762,"Overpaid","35.2%",22.359375,14.4884935634543,7.87088143654569
"8",59,"Paul","Goldschmidt","goldp001","1B",23.00453584,682,353.5187572,2.6e+07,1369.2,-9.3,2.5,0.0984999880252462,9099216.49558285,0.0444404315337588,16390283.4815952,9609716.51840485,1.10462416738834,"Overpaid","37.0%",26,16.3902834815952,9.60971651840485
"9",74,"Eric","Hosmer","hosme001","1B",13.00083187,667,331.4793213,2.1e+07,1356,-12.2,-0.6,0.0572119762409583,9284385.06426777,0.0115587181593471,14274892.7601194,6725107.23988065,0.755925538930989,"Overpaid","32.0%",21,14.2748927601194,6.72510723988065
"10",88,"Jose","Martinez","martj008","1B",2.88803997,373,194.2194285,2125000,522.2,-7.1,-11.4,0.189731134125594,9301811.62078136,0.0397829777418646,8013196.41386752,-5888196.41386752,-0.713928213828622,"Underpaid","-277.1%",2.125,8.01319641386752,-5.88819641386752
"11",93,"Mitch","Moreland","morem001","1B",4.034886327,335,189.7638676,2500000,663.2,-7.5,-3.7,0.0777450408572962,9100209.25732336,0.0341902426380829,12205983.2444382,-9705983.2444382,-1.10306440459975,"Underpaid","-388.2%",2.5,12.2059832444382,-9.7059832444382
"12",95,"Max","Muncy","muncm001","1B",37.05481188,589,310.5472917,2500000,922.3,-1.4,3.9,0.199991453489887,8424692.03509532,0.289400620008026,17772580.802035,-15272580.802035,-1.86359677785272,"Underpaid","-610.9%",2.5,17.772580802035,-15.272580802035
"13",96,"Daniel","Murphy","murpd006","1B",10.73863953,478,251.1035777,8e+06,884.1,-7.6,-0.2,0.0625181829694661,9299297.83461797,0.0115281364024057,14388707.831721,-6388707.83172102,-0.720142485923361,"Underpaid","-79.9%",8,14.388707831721,-6.38870783172102
"14",109,"Albert","Pujols","pujoa001","1B",3.558475919,545,303.8202207,2.9e+07,860.2,-10.8,-3.6,0.0795318259049399,8373854.91148472,0.104714114951361,12238429.4893939,16761570.5106061,1.90676491630811,"Overpaid","57.8%",29,12.2384294893939,16.7615705106061
"15",115,"Anthony","Rizzo","rizza001","1B",46.68022489,613,301.8157198,16500000,1226.2,-6.9,2.9,0.276113148141481,9438256.07597096,0.00284372927323555,17665856.4068538,-1165856.40685376,-0.149553489948741,"Underpaid","-7.1%",16.5,17.6658564068538,-1.16585640685376
"16",118,"Miguel","Sano","sanom001","1B",21.19078575,439,219.2980742,7e+06,793,-5.3,-19.9,0.441684927560139,9399914.17380857,0.0421989543219522,4261279.56621844,2738720.43378156,0.400032115235212,"Overpaid","39.1%",7,4.26127956621844,2.73872043378156
"17",119,"Carlos","Santana","santc002","1B",29.42301525,686,338.59762,20833334,1185.2,-8.6,1.5,0.111130664717391,9362112.21907298,0.0123023508620894,16139920.512394,4693413.48760598,0.543321245702198,"Overpaid","22.5%",20.833334,16.139920512394,4.69341348760598
"18",129,"Justin","Smoak","smoaj001","1B",5.062249443,500,237.1084589,4e+06,772,-8.6,-3.2,0.0720744196172706,9181921.40822792,0.024131286143135,12520922.193271,-8520922.19327097,-0.965421260759656,"Underpaid","-213.0%",4,12.520922193271,-8.52092219327097
