"","X","nameFirst","nameLast","BAT_ID","Position","RE24","PA","Runs.Start","salaries","total_inn","total_def","UZR_150",".hat",".sigma",".cooksd",".fitted",".resid",".stdresid","Over_Underpaid","Pct_Over_Underpaid","Real_Salary_Millions","Fitted_Millions","Resid_Millions"
"1",29,"Robinson","Chirinos","chirr001","C",6.289270024,437,236.3013684,5750000,966,2.7,NA,0.0847451232048811,6315305.99897105,0.00175255285717086,7140162.17682365,-1390162.17682366,-0.2382922171281,"Underpaid","-24.2%",5.75,7.14016217682365,-1.39016217682366
"2",32,"Willson","Contreras","contw001","C",11.35979447,409,214.5043579,4500000,811.2,-0.9,NA,0.137182139800508,6288183.38553576,0.00934302403560012,6878259.74325028,-2378259.74325028,-0.419870282376633,"Underpaid","-52.9%",4.5,6.87825974325028,-2.37825974325028
"3",37,"Travis","d'Arnaud","darnt001","C",6.72824064,391,204.5470287,8e+06,626.2,6,NA,0.0790032913798799,6328108.5973087,5.53491142590104e-06,8081420.92556713,-81420.9255671308,-0.0139130521066819,"Underpaid","-1.0%",8,8.08142092556713,-0.0814209255671308
"4",47,"Tyler","Flowers","flowt001","C",-14.73222016,310,163.7384418,4e+06,679,19,NA,0.187352484049171,6168362.30612252,0.0536474125398968,8592953.89807811,-4592953.89807811,-0.835519125970798,"Underpaid","-114.8%",4,8.59295389807811,-4.59295389807811
"5",60,"Yan","Gomes","gomey001","C",-3.0416606,358,183.1908633,4e+06,787,8.5,NA,0.0660207841650176,6252384.65846097,0.00785198764885331,7401981.0345847,-3401981.0345847,-0.577269614042759,"Underpaid","-85.0%",4,7.4019810345847,-3.4019810345847
"6",65,"Yasmani","Grandal","grany001","C",19.16576952,632,330.9640657,18250000,1095.2,23.4,NA,0.531892838300139,6136759.23137995,0.315898306944938,14439762.2545309,3810237.74546906,0.91326086547495,"Overpaid","20.9%",18.25,14.4397622545309,3.81023774546906
"7",70,"Austin","Hedges","hedga001","C",-17.8219989,347,166.4131364,3e+06,813,27.6,NA,0.316299926217317,5812073.83757965,0.337776121552429,10462352.5934314,-7462352.59343141,-1.47998859196731,"Underpaid","-248.7%",3,10.4623525934314,-7.46235259343141
"8",83,"Martin","Maldonado","maldm001","C",-15.0278762,374,188.6501277,3500000,848.2,9.3,NA,0.194835345706549,6282180.80696137,0.0163475087192981,5963325.6490665,-2463325.64906651,-0.45018901517456,"Underpaid","-70.4%",3.5,5.9633256490665,-2.46332564906651
"9",91,"James","McCann","mccaj001","C",4.364807068,476,248.702059,5400000,905.1,1.8,NA,0.0842983750581352,6318025.83708553,0.00137384328097067,6634690.74260967,-1234690.74260968,-0.211590719435701,"Underpaid","-22.9%",5.4,6.63469074260967,-1.23469074260968
"10",92,"Yadier","Molina","moliy001","C",-7.930769739,452,232.8556689,2e+07,939.1,8.9,NA,0.0987808752164986,5025109.5209241,0.188962116133625,6834827.68013763,13165172.3198624,2.27419009697601,"Overpaid","65.8%",20,6.83482768013763,13.1651723198624
"11",98,"Omar","Narvaez","narvo001","C",0.932422896,482,243.0027728,2725000,815.2,-6.5,NA,0.19684826185674,6316853.85279004,0.00408062312090735,3946350.3635098,-1221350.3635098,-0.22348937445959,"Underpaid","-44.8%",2.725,3.9463503635098,-1.2213503635098
"12",107,"Buster","Posey","poseb001","C",-14.52424372,445,221.8066463,22177777,846.1,18.8,NA,0.18351843231762,4753467.84257584,0.457070349835664,8568242.34184352,13609534.6581565,2.46993485725286,"Overpaid","61.4%",22.177777,8.56824234184353,13.6095346581565
"13",110,"Wilson","Ramos","ramow001","C",12.64994802,524,270.1273865,10250000,1016.1,0.1,NA,0.14368940042934,6267048.39765448,0.0150494528111866,7322987.88542571,2927012.11457429,0.518709588034467,"Overpaid","28.6%",10.25,7.32298788542571,2.92701211457429
"14",111,"J.T.","Realmuto","realj001","C",5.061897902,593,307.2124327,1e+07,1139.1,27.8,NA,0.341239913612604,6202638.91284144,0.0949410824693061,13670030.4476538,-3670030.44765378,-0.74151756687193,"Underpaid","-36.7%",10,13.6700304476538,-3.67003044765378
"15",117,"Gary","Sanchez","sancg002","C",6.982781462,446,226.3459549,5e+06,742.2,1.5,NA,0.0939373943733158,6303492.25290297,0.00376346465612716,6915482.04143285,-1915482.04143285,-0.330000347269942,"Underpaid","-38.3%",5,6.91548204143285,-1.91548204143285
"16",134,"Kurt","Suzuki","suzuk001","C",9.975005157,309,172.7020382,6e+06,628.1,-4.9,NA,0.165714188529176,6327099.2061257,0.000308499603980224,5619804.01390821,380195.986091785,0.0682598790445452,"Overpaid","6.3%",6,5.61980401390821,0.380195986091785
"17",143,"Tony","Wolters","woltt001","C",-3.675486278,411,219.3580688,1900000,904.1,3.5,NA,0.094641225783108,6215389.35995936,0.0172305569960716,5980143.20814605,-4080143.20814605,-0.703202595208241,"Underpaid","-214.7%",1.9,5.98014320814605,-4.08014320814605
